,sentiment,tweet
557138,0,wants to compete! i want hard competition! i want to rally. i want to feel the power coming out of the engine! i want to compete 
349381,0,It seems we are stuck on the ground in Amarillo. They have put a ground stop for all flights leaving for Denver. Said updates in an hour 
182051,0,where the f are my pinking shears? rarararrrarararr...babyproofing while cutting stuff makes me stick shears random places &amp; forget them 
571236,0,0ff t0 tHE MEEtiN..  i HAtE WhEN PPl V0lUNtEER MY fREE tiME..gRRR!
1339637,4,@ reply me pls 
758738,0,@bharathy_99: Jazz in India is just Honda strategy to prove they can make affordable cars for the working class. It still doesn't fit me. 
1065984,4,"aaaaaaaaaaah, met a boy. he seems nice. im happppppy now "
1373568,4,@jonasbrothers http://twitpic.com/6q1om - Sports Center !!!!! you guys are too legit to quit. Wooww 
1092137,4,"@saragarth Not bad, bit grumpy cause of exams but generally OK ta  x"
74877,0,@luke_redroot can't watch it  what is it?
801054,4,GOOD NITE EVERBODY I HAD A LONG DAY AND DID A PROJECT NOW IT IS FINALLY TIME TO GET SOME REST PEACE 
1046097,4,Morning Twitter world! I'm gonna start my day with the coldest Lucozade I can find! 
1105453,4,@jonascool1 Hahaa thats really random. But hi! 
1246075,4,"@ANGRIES Because they're just awesome.  If you wanna record one thennnn go to a recording studio haha, Bruce records people."
1205887,4,Forcei o @_wolff a participar do twitter 
655,0,KUTNERRRR!  WHY??? WHY??????  And to think that 13 is still on the show?? UGH. Kutner/Kal Penn - you've been the bright star in Ho ...
1145750,4,@JhonLloydTaylor  Aww I love the new songs from LVATT  ... you're saw so funny on the thursday's Live Chat of the JoBros... seriously!! 
1326387,4,@shottao tynenol works best 
217849,0,Song Of My Life Now...Your Love Is A Lie-Simple Plan  *BeautifulyLost
175378,0,"aah, i'm tired. haven't chilled a minute today! "
792159,0,is curently at college doing nothing that has anything to do with school i'm incredably board 
810723,4,@kokogirl oh lol. yeah I'm super. I just got involved in a movie. 
220737,0,Watching the last Leno  So glad I got to go once!
1453050,4,with marijka.  lemmiiiin.
1334666,4,@hostile_bioform I dropped your books off in the library 
396930,0,Ughh still didn't even get my hair washed 
1598175,4,I dont give a damn now to my Day job. I will be an Entrepreneur very soon 
1312687,4,living with myshele now 
1138011,4,@b_club I am on the Central Coast in California  Beautiful here! Come visit!
667915,0,@itsbeaa mom IS a KJ. -_- i was supposed to go to rosmar's party. 
1175107,4,"..Sunday Funday! ;) -you, can take me &quot;UP!&quot; up &amp; &amp;awayyy. "
663898,0,@ili_fm tidak tau cuz on one hand a few friends going to pmi (which has so7) and on the other no friends going for capsquare 
1018431,4,@bobby_todd hellloooooo!! 
1528813,4,@clairecameron no way!!!!  We're all metal heads!!!  You should go back and do a shredding riff or two to put him in his place 
683560,0,Sun burns are noooo fun  I'm bored...sittin at home watching Bride Wars with my sister =D Have a good weekend everyone =D
441478,0,@Jenny_Sullivan I do more that anything 
629110,0,@kittenspawn I wish i could  that day kinda sucked for me
106576,0,@squishable looking for a mascot for www.connectacle.com needs to be an octopus but the one youhave isnt cutting it  if u sign up ull see.
265629,0,Missin my Poop.  I'm all hurty and D.
817642,4,@UrbanInformer will do! 
811406,4,"some nice vfx-breakdowns from the norwegian movie Max Manus (text in norwegian, but some nice vids  ) : http://tinyurl.com/d4g3jz"
29570,0,"@Covergirl1985 S'ok, I was confused for a moment. I have to agree that ur dad sure could've timed the announcement @ a diff. time though. "
1432622,4,so had an amazing choir tour in DC and now the beach trip with my girls!! 
183855,0,"ridiculously tired, on the way home  don't text me i need sleeeeeep!"
138732,0,"Each time I close my eyes, I often think of the moment Mr.Pyon fighting. Still sad "
436095,0,"cant sleep. Im screwed, again. "
379486,0,@carmensophia G chat it IS i NEED to talk to someone. BAD. 
1588759,4,@meaghanellenxo Sounds good 
1328231,4,"doing maths while watching state of origin, GO marooonss "
161405,0,"@LMA_xo My daddy lives in Manchester, I love it there :-D HULL?! :O bitch! I have a mate there and I wanna go "
274568,0,"Feeling a bit low today, sent off tons of job apps but not heard anything  I need to get out in the sunshine I think!"
267306,0,once again...show is rescheduled  
474278,0,Tired as hell..barely made it to my gate..bye bye LA.. 
1460740,4,@dutchjackles You need to follow different people on here if it's all negative shit. I had very happy updates! 
1391482,4,"@Ronald_Voets You got it!  The whole day was a party, so the evening was the start of the afterparty ;-)"
1491121,4,"Oh my jeebus, I slept allll day. How wonderful  I think I'm hungry."
1043912,4,"@ vdsudeep  is looking for more blog posts on  http://bit.ly/fUDff  Mahalo, Sudeep should be up Friday  Aloha~"
889460,4,"@kimierk no my dear, then you just do what I am doing... read it again! "
1431450,4,Save the Mangos! — At mAngos chilling with old friends  http://tinyurl.com/p863xz
1481728,4,"homwe &amp; watching the yankee game, comee visit me "
1522865,4,"@yildissX ummm its gettting bettterrr, than before, but its still prettty bad ! lol "
749873,0,"huh, turns out I'm like marmite...when did i stop being loved by all "
448935,0,Another AHS student passes away. He was such a sweetie to me... when he wasn't making passes at me haha. Rest in peace Gabe Darrah 
537262,0,No tweets to my phone all day. Weirdness. I just thought everyone was being very quiet. 
1525441,4,"arrrggghhhh, going to sydney for the first time on the holidays and then off to canberra and somewhere else in snow "
1453828,4,@Itxi_Itx LOL so so true 
1363217,4,i'm in a reallllllly good mood 
1470300,4,@culturesclothes perfecto 
538015,0,"@divafern Aw, man! I hate it when that happens. "
254789,0,@mzkalila thanks!!!really appreciate that. My skin is acting up... 
1114288,4,Just ordered UFC Undisputed! Bring on the octagon pain 
1407060,4,Thanks to @danlopez2012 @AIC_Entertainment @paulastudio for the props  ♫ http://blip.fm/~7qu1x
1225684,4,"@dunkdaft Quite medley  5 hindi, 4 telugu and one tamil. Thanks! I'll upload video on YT soon "
980598,4,Can't feel my bottom and is now going to bed. 
495860,0,I think the time I really start lusting after a #Mac is when I'm forced to use #Windows. Unfortunalty that's every day at the momenrt 
1143812,4,Going to watch drag me to hell at the bridgeat 945....oooo scary movie!!! 
833303,4,"my leg is tired, I'm so tired but it paid off when I saw his smile  Wide as ever! Sweeter than sugar!! Surprise  N that is for you! ILY!"
456127,0,@YouDoDan again!  that's suck.   who are they so we can stay away from them?
995761,4,Off to get ready for school now. 
215048,0,Just wept for the last 10 minutes. Marley And Me is so sad. 
1414752,4,"Still trying to upload pics of my new hair  gave myself first aide, cut my hand with a knife chopping onions......ugh"
873286,4,in love with wolverine 
550934,0,Today would of actually been my 10 month with my ex 
524516,0,Waiting for the kettle to boil so not online for very long 
14625,0, I'm stuck in San Clemente and I have work in an hour and 15 minutes. Efffffff
612559,0,"@YuliZ you're absolutely right - I was thinking today was the 17th  oh well, next year - you must tell me all about it next week at 2.0"
429472,0,whys it sooooo cold 
327962,0,Just now leaving work  - http://bkite.com/086Vt
714086,0,I just saw a report that said most high school graduates dont know where Mt. Rushmore is. TRULY SAD!!! 
1371962,4,"Techie Buzz, founded by @keithdsouza completes 3 years of #awesomeness. Happy Birthday, TB  http://is.gd/PL9e"
540667,0,Ads on FB Are just getting mean....  http://yfrog.com/0fnvnnp
1107188,4,"says Toy Story 3, 2010.  http://plurk.com/p/x7vid"
373339,0,"&quot;But there are moments when you can't deny what's true, Just an ordinary day like when I met you&quot; 08-26-08 ...Damn I miss you BOYS!! "
1139637,4,Extremely tired and can't WAIT to see erick 
21244,0,"@petewentz are you for real? I mean ffs, does anyone have a heart? "
1437746,4,@andisayd mann those food seem very good 
817755,4,@tiffany_paige http://twitpic.com/3iu8l - I WISH I WAS TOO! 
664966,0,thank fuck i waited to start hardcore crying until i was alone in the idr room. 
483349,0,"@Vixster25 I've till tomorrow morning 2 decide. Right now, I AM attending the Summit but, my Husband's been called in2 the office @ work "
627133,0,@lukeawol good luck nursing them to health! I always feel useless when fish get sick. 
1238940,4,"@tiflosourtis Konstantino, firefox crash last 6 months both in mac and pc..and is very slooooooooooooow! "
386028,0,up at 8 am 
893825,4,@shanastamm myspace.com/pahonorsocietyst 
1593096,4,Yay I figured out how to use mobile blogging how convinient  www.lepinklabel.blogspot.com
545058,0,Not looking forward to working 1 to 10 the next 2 days 
1347300,4,Hello. I am at my boyfriends house. It is all very exciting 
1437410,4,@JustA_Girl go join them 
789810,0,At work wrist hurting for no reason 
435461,0,"Ohh, i can't be Bree, &quot;14-17, Beautiful&quot; Thats out the window, &amp; i'm to tall "
1298509,4,love it when I have a day off 
1081425,4,@omgitsJustinTR Oh damn. I missed it. I'm sorry. Glad it was good though. 
820788,4,Watching Bad Boys &amp; Bad Boys II. Evening with Michael Bay    http://www.imdb.com/name/nm0000881/
525579,0,It's morning already?  
1117114,4,@YatinVadhia no more work for me today then 
207035,0,BORED!!! want to go out but noones up for doing anything 
1311457,4,Does anyone know how the dinosaurs really died? I do.....GLOBAL WARMING!!!! 
302394,0,fell asleep!!!!!!!!!!  must start working now
990717,4,@bruxedo Thank you VERY much for the mr tweet recommendation! I appreciate it very much! 
1139325,4,it's raining in Delhi!!! Yippie 
877665,4,@tolerancenow769 indeed i do  do you from me?
1317389,4,Smile with me and the world will smile with u 
82000,0,"@jonthanjay  Thank you, J.  I can't sleep either...my Canucks lost! "
945597,4,"Updated several of my browsers.. Sunrise, SeaMonkey, etc. "
229848,0,"i huuurrrt!!  I got a crazy insane workout just doing the shoot. Freakin' raging river beat us up haha. I so NEED a massage, eh eh eh!?"
619586,0,Can't quite get MMS to stick on my iPhone... 
727898,0,"The Arangurens are over for the final frontier!! lol. tita marjit, harry, and lincy are leaving tomorrow. this cannot be! "
672917,0,@promizechild Awww dont be mad at me boo. I didnt have any gas to go. Im sorry 
1351743,4,  Lego Star Wars awesomeness.  http://www.flickr.com/photos/balakov/sets/72157594352657197/  Did you guys miss me btw?  
327238,0,"@scoop42 no media access, just a common man  did it perchance involve a tasty glass of comeuppance?"
845559,4,another sunny monday off! Hi sun! 
1040762,4,@Hatz94 heyyy just wanted to wish you a good night.  I was on stickam for a little but was having problems with some people messaging me..
1256848,4,"@agnestejada - putris... reception, i'd like a change of room please... right here by the desk.. "
496083,0,@beebumble79 i cant feel my nose 
568578,0,@craftydame it was an epic day.  Such a stupid mistake by my DH cost us a LOT of money   So embarrassing as well.
1182663,4,@bexiclepop have done  I want hot weather all the time! But i am still pasty haha bet you are tanned &gt;.&lt; cant help getting tanned =P
569689,0,in an hour and 20 min.s i have been 30 miles 
568113,0,"@mrchrisaddison #nicerfilmtitles The Towering Infernyes. (sorry) Star Peace Treaties: Pyjama-Party of the Clones, Gums, The Exercised "
1112839,4,taking a shower 
